game_id,date,home_team,visitor_team,home_game_number,home_result,home_streak,home_offensive_rating,home_defensive_rating,home_ts_percent,home_assist_percent,home_steal_percent,home_rebound_percent,home_turnover_percent,visitor_game_number,visitor_result,visitor_streak,visitor_offensive_rating,visitor_defensive_rating,visitor_ts_percent,visitor_assist_percent,visitor_steal_percent,visitor_rebound_percent,visitor_turnover_percent
202410280PHO,2024-10-28T14:00:00Z,PHX,LAL,6,W,2W,113.47,110.8,0.621,73.8,7.3,47.9,15.1,6,L,1L,121.23,115.13,0.608,67.2,8.4,53.3,11.4
202410280SAC,2024-10-28T14:00:00Z,SAC,POR,4,W,1W,116.85,119.7,0.615,63.2,9.2,44.5,10.4,6,L,1L,109.07,113.3,0.533,62.2,8.5,50.4,14.8
202410290MIN,2024-10-29T11:30:00Z,MIN,DAL,6,L,1L,112.03,110.13,0.584,60.5,5.4,50.0,13.9,4,W,2W,110.97,108.9,0.526,62.2,8.0,49.5,9.5
202410290BRK,2024-10-29T11:30:00Z,BKN,DEN,6,L,1L,110.83,112.77,0.562,58.1,8.0,49.9,14.5,6,W,2W,104.3,110.43,0.511,67.2,10.1,49.5,11.8
202410290UTA,2024-10-29T13:00:00Z,UTA,SAC,6,L,5L,101.27,117.67,0.498,61.7,7.2,49.1,14.7,5,W,2W,115.7,113.17,0.611,64.7,8.8,45.2,11.9
202410290GSW,2024-10-29T14:00:00Z,GSW,NOP,5,W,1W,118.17,96.47,0.592,65.9,12.1,54.7,14.8,6,L,2L,107.7,110.97,0.543,65.7,11.6,46.1,12.4
202410300CHO,2024-10-30T11:00:00Z,CHA,TOR,6,W,1W,113.47,116.1,0.554,54.5,6.4,55.3,15.4,7,L,3L,109.05,117.83,0.548,68.2,8.6,55.3,16.6
202410300CLE,2024-10-30T11:00:00Z,CLE,LAL,7,W,5W,123.15,106.5,0.638,58.7,11.4,49.1,12.8,7,L,2L,117.8,114.25,0.585,66.4,7.5,52.5,11.2
202410300IND,2024-10-30T11:00:00Z,IND,BOS,7,W,1W,110.2,117.15,0.573,69.3,8.2,45.9,14.2,7,L,1L,127.15,111.67,0.623,56.1,7.2,50.5,9.4
202410300WAS,2024-10-30T11:00:00Z,WAS,ATL,6,W,2W,108.33,120.27,0.541,64.0,7.0,48.7,13.3,5,L,3L,113.62,117.85,0.589,69.2,10.2,48.3,14.2
202410300PHI,2024-10-30T11:00:00Z,PHI,DET,6,L,1L,108.47,114.87,0.521,48.4,7.7,48.3,12.5,7,W,1W,108.95,117.1,0.554,56.6,4.9,52.7,15.0
202410300MIA,2024-10-30T11:30:00Z,MIA,NYK,4,L,1L,109.67,110.73,0.547,73.6,9.4,45.0,11.3,6,W,1W,119.37,121.33,0.603,48.2,5.2,51.2,12.5
202410300MEM,2024-10-30T12:00:00Z,MEM,BKN,5,L,2L,114.38,116.2,0.569,70.8,7.1,47.7,12.4,7,W,1W,116.15,118.8,0.582,62.5,6.9,49.6,12.8
202410300CHI,2024-10-30T12:00:00Z,CHI,ORL,6,W,2W,107.53,111.15,0.563,69.8,5.8,50.2,13.6,6,L,1L,116.2,109.5,0.588,65.9,8.8,52.5,13.4
202410300OKC,2024-10-30T13:30:00Z,OKC,SAS,5,W,5W,109.2,90.8,0.531,53.1,11.6,47.0,8.9,6,L,2L,109.23,113.63,0.562,65.1,6.2,54.4,15.7
202410300GSW,2024-10-30T14:00:00Z,GSW,NOP,6,W,2W,120.5,99.6,0.595,67.9,12.9,52.0,12.9,7,L,3L,108.03,115.1,0.564,63.6,9.8,48.7,14.8
202410300LAC,2024-10-30T14:30:00Z,LAC,POR,6,L,1L,109.2,105.7,0.564,67.9,7.7,53.2,16.1,7,W,1W,106.83,113.33,0.527,58.8,7.6,51.2,15.1
202410310MEM,2024-10-31T12:00:00Z,MEM,MIL,6,W,1W,112.78,116.84,0.568,70.9,7.5,48.7,13.7,6,L,4L,112.05,116.83,0.599,56.0,5.7,50.0,14.4
202410310DAL,2024-10-31T12:30:00Z,DAL,HOU,5,L,1L,114.5,111.4,0.543,60.5,9.1,49.3,9.3,7,W,2W,112.6,108.65,0.528,52.2,8.6,47.7,10.5
202410310UTA,2024-10-31T13:00:00Z,UTA,SAS,7,L,6L,100.33,116.92,0.5,63.4,7.2,48.4,14.8,7,W,1W,105.45,111.78,0.55,64.6,6.2,55.1,16.6
202410310LAC,2024-10-31T14:30:00Z,LAC,PHX,7,L,2L,109.08,106.72,0.557,66.8,8.4,52.6,15.2,7,W,3W,113.0,109.97,0.608,68.5,7.3,48.4,13.9
202411010CLE,2024-11-01T11:00:00Z,CLE,ORL,8,W,6W,123.98,106.1,0.644,60.2,11.8,49.2,12.4,7,L,2L,112.92,108.18,0.575,67.0,8.8,50.8,13.0
202411010CHO,2024-11-01T11:00:00Z,CHA,BOS,7,L,1L,118.55,119.3,0.58,56.7,7.0,53.5,14.8,8,W,1W,124.88,113.04,0.606,55.4,7.7,49.8,9.6
202411010DET,2024-11-01T11:00:00Z,DET,NYK,8,L,1L,110.36,114.66,0.563,58.1,4.8,53.5,15.3,7,W,2W,120.75,119.8,0.612,54.9,6.1,51.4,12.1
202411010TOR,2024-11-01T11:30:00Z,TOR,LAL,8,L,4L,113.02,121.02,0.566,68.8,8.6,54.6,15.7,8,W,1W,115.14,116.86,0.588,64.2,7.2,52.1,12.7
202411010BRK,2024-11-01T11:30:00Z,BKN,CHI,8,W,2W,116.8,116.32,0.597,63.2,7.6,49.2,13.7,7,L,1L,106.6,108.88,0.558,68.6,5.8,51.4,13.6
202411010ATL,2024-11-01T11:30:00Z,ATL,SAC,6,L,4L,113.46,119.28,0.586,67.8,10.0,49.2,14.1,6,W,3W,115.45,109.25,0.603,62.0,8.9,47.4,11.7
202411010NOP,2024-11-01T12:00:00Z,NOP,IND,8,W,1W,106.06,115.02,0.541,65.4,9.3,49.7,14.5,8,L,1L,111.86,116.88,0.576,68.7,8.4,47.3,14.2
202411010MIN,2024-11-01T13:30:00Z,MIN,DEN,7,W,1W,113.75,113.88,0.599,66.5,5.4,50.3,15.0,7,L,1L,112.45,115.85,0.547,67.3,8.3,50.0,10.0
202411010POR,2024-11-01T14:00:00Z,POR,OKC,8,L,1L,107.42,112.4,0.531,56.3,8.0,50.8,14.4,6,W,6W,108.45,91.62,0.54,56.9,13.3,46.0,10.0
202411020CHO,2024-11-02T10:00:00Z,CHA,BOS,8,L,2L,117.32,121.02,0.577,54.9,6.6,52.9,14.7,9,W,2W,125.38,112.93,0.607,54.7,8.4,49.7,9.5
202411020TOR,2024-11-02T11:30:00Z,TOR,SAC,9,W,1W,114.22,121.85,0.564,68.5,7.8,53.9,14.6,7,L,1L,116.18,109.66,0.602,62.7,8.9,49.1,11.7
202411020PHI,2024-11-02T11:30:00Z,PHI,MEM,7,L,2L,107.58,115.15,0.521,49.1,7.7,47.0,11.6,7,W,2W,113.55,113.25,0.58,69.2,7.2,50.5,14.0
202411020SAS,2024-11-02T12:00:00Z,SAS,MIN,8,W,2W,105.84,107.26,0.544,64.8,8.4,52.9,15.3,8,L,1L,115.18,114.68,0.61,69.0,5.9,49.3,15.2
202411020MIL,2024-11-02T12:00:00Z,MIL,CLE,7,L,5L,108.7,116.94,0.574,54.6,6.5,48.0,13.3,9,W,7W,122.75,106.07,0.641,59.6,10.8,50.3,12.3
202411020HOU,2024-11-02T12:00:00Z,HOU,GSW,8,L,1L,113.48,109.02,0.521,52.3,7.7,49.7,10.1,7,W,3W,119.34,99.32,0.588,69.9,11.4,50.8,12.9
202411020WAS,2024-11-02T13:30:00Z,WAS,MIA,7,L,1L,112.5,118.4,0.572,65.0,7.6,48.4,13.4,5,W,1W,111.05,114.28,0.556,73.4,8.7,45.8,10.9
202411020PHO,2024-11-02T14:00:00Z,PHX,POR,8,W,4W,115.98,112.32,0.619,68.6,8.3,47.7,13.4,9,L,2L,108.45,116.42,0.54,58.5,8.0,49.7,14.7
